name,sector,x,y
AT&T,Communication Services,0.12887342,0.042189464
Alphabet Inc.(Class A),Communication Services,0.002838539,0.016563721
Alphabet Inc.(Class C),Communication Services,-0.020913301,0.028500887
Charter Communications,Communication Services,0.14310548,-0.08347086
Comcast,Communication Services,0.15679128,-0.0022941465
EchoStar,Communication Services,0.10457205,0.03339056
Electronic Arts,Communication Services,0.155197,-0.030932847
Fox Corporation(Class A),Communication Services,-0.08358246,-0.031729884
Fox Corporation(Class B),Communication Services,-0.06403892,-0.06074567
Live Nation Entertainment,Communication Services,-0.049650334,0.1812294
Meta Platforms,Communication Services,0.20762475,0.025118226
Netflix,Communication Services,0.11645887,0.13341492
News Corp(Class A),Communication Services,-0.020017453,-0.021027973
News Corp(Class B),Communication Services,0.0031474167,-0.0619091
Omnicom Group,Communication Services,0.036530387,0.10054517
Paramount Skydance Corporation,Communication Services,0.103158094,-0.0028277673
T-Mobile US,Communication Services,0.13484244,-0.0012295581
TKO Group Holdings,Communication Services,-0.015848923,0.0067208186
Take-Two Interactive,Communication Services,0.06622327,0.03720354
Trade Desk (The),Communication Services,0.006030701,-0.083403
Verizon,Communication Services,0.13956904,0.079849884
Walt Disney Company (The),Communication Services,-0.09041716,0.19734316
Warner Bros. Discovery,Communication Services,-0.054834966,-0.025719123
Airbnb,Consumer Discretionary,0.062483337,0.17571738
Amazon,Consumer Discretionary,0.10213554,0.20607783
Aptiv,Consumer Discretionary,0.13746247,-0.0021464378
AutoZone,Consumer Discretionary,-0.042751938,0.020951508
Best Buy,Consumer Discretionary,0.09183398,0.1960751
Booking Holdings,Consumer Discretionary,0.05728598,0.059175394
Carnival,Consumer Discretionary,0.052336574,0.2644058
Carvana,Consumer Discretionary,0.05770508,0.108708665
Chipotle Mexican Grill,Consumer Discretionary,-0.14819661,0.25131303
D. R. Horton,Consumer Discretionary,-0.002321639,-0.04831291
Darden Restaurants,Consumer Discretionary,0.0225032,0.13976184
Deckers Brands,Consumer Discretionary,-0.13990018,0.12209291
Domino's,Consumer Discretionary,0.045456514,0.19407448
DoorDash,Consumer Discretionary,0.019078687,0.14328901
Expedia Group,Consumer Discretionary,0.08476841,0.04489135
Ford Motor Company,Consumer Discretionary,-0.10013943,-0.017758345
Garmin,Consumer Discretionary,0.24195722,0.00874391
General Motors,Consumer Discretionary,-0.16590498,-0.036578745
Genuine Parts Company,Consumer Discretionary,-0.12407225,0.04081126
Hasbro,Consumer Discretionary,0.06123237,0.027566183
Hilton Worldwide,Consumer Discretionary,0.096332125,0.18582949
Home Depot (The),Consumer Discretionary,-0.20587887,0.14238265
Las Vegas Sands,Consumer Discretionary,-0.035410665,0.05187142
Lennar,Consumer Discretionary,0.043615423,-0.03790897
Lowe's,Consumer Discretionary,-0.12260757,0.21667807
Lululemon Athletica,Consumer Discretionary,0.0011848342,0.15976487
MGM Resorts,Consumer Discretionary,-0.031779215,0.050678983
Marriott International,Consumer Discretionary,-0.02817386,0.19593629
McDonald's,Consumer Discretionary,-0.046703488,0.29231405
"NVR, Inc.",Consumer Discretionary,0.014812667,-0.001611854
"Nike, Inc.",Consumer Discretionary,-0.09126906,0.14884737
Norwegian Cruise Line Holdings,Consumer Discretionary,0.0037322473,0.035186954
